,title,url_anime,date_published_anime,score_anime,rank_anime,members_anime,anime_exists,url,date_published,score,rank,members
101,Kingdom,,,,,,no,https://myanimelist.net/manga/16765/Kingdom,2006-01,9.01,1,172302
102,Houseki no Kuni,,,,,,no,https://myanimelist.net/manga/44489/Houseki_no_Kuni,2012-01 - 2024-01,8.98,2,131880
103,Real,,,,,,no,https://myanimelist.net/manga/657/Real,1999-01,8.96,3,88751
104,20th Century Boys,,,,,,no,https://myanimelist.net/manga/3/20th_Century_Boys,1999-01 - 2006-01,8.95,4,258805
105,Ashita no Joe,,,,,,no,https://myanimelist.net/manga/1303/Ashita_no_Joe,1968-01 - 1973-01,8.95,5,352706
106,Chainsaw Man,,,,,,no,https://myanimelist.net/manga/116778/Chainsaw_Man,2018-01,8.72,1,616174
107,Shinyaku Toaru Majutsu no Index,,,,,,no,https://myanimelist.net/manga/24875/Shinyaku_Toaru_Majutsu_no_Index,2011-01 - 2019-01,8.72,3,915377
108,Koten-bu Series,,,,,,no,https://myanimelist.net/manga/35513/Koten-bu_Series,2001-01,8.72,4,18227
109,Fata Morgana no Yakata: Anata no Genten ni Itaru Monogatari,,,,,,no,https://myanimelist.net/manga/102875/Fata_Morgana_no_Yakata__Anata_no_Genten_ni_Itaru_Monogatari,2014-01 - 2016-01,8.71,5,163340
110,Utsuro no Hako to Zero no Maria,,,,,,no,https://myanimelist.net/manga/55215/Utsuro_no_Hako_to_Zero_no_Maria,2009-01 - 2015-01,8.71,1,102930
111,Kono Oto Tomare!,,,,,,no,https://myanimelist.net/manga/45143/Kono_Oto_Tomare,2012-01,8.7,2,43241
112,Beck,,,,,,no,https://myanimelist.net/manga/145/Beck,2000-01 - 2008-01,8.7,3,879325
113,Zaregoto Series,,,,,,no,https://myanimelist.net/manga/9726/Zaregoto_Series,2002-01,8.7,4,23716
114,Yokohama Kaidashi Kikou,,,,,,no,https://myanimelist.net/manga/4/Yokohama_Kaidashi_Kikou,1994-01 - 2006-01,8.69,5,674634
115,Death Note,,,,,,no,https://myanimelist.net/manga/21/Death_Note,2003-01 - 2006-01,8.69,1,395135
116,Bungou Stray Dogs: Beast,,,,,,no,https://myanimelist.net/manga/123006/Bungou_Stray_Dogs__Beast,2019-01 - 2022-01,8.68,5,214662
